제목,내용
커피 한 잔 그리고 너,"아주 오래전엔
커피 한 잔을 마시고는
가슴이 울렁거리고
잠이 오지 않아서 힘들었었지
몇 달이 되지 않아, 익숙한 맛이 되고
피곤을 잠시 잊게 해주고
사람과 사람 사이 대화를 불러내서
지금까지 하루 한 잔은 필수가 되었지
주변이 쓸쓸해진 요즘
커피 한 잔이 네가 되어
온기를 사람처럼 느끼고
온갖 느낌표들을 돌아보며 웃지
이젠 사람들과 마주하는 것보다
너와 마주하는 것이 아주 편해"
콩나물국,"고춧가루 풀은 콩나물국을 끓여 놓고
마주할 사람 없이 수저를 든다
껄끄러운 입맛은 귀한 약을 대하듯
얼큰한 국물만 마셔본다
여고시절, 병약한 어머니 대신
복닥거리던 가족들에게
유일하게 끓여준 콩나물국에 질렸는데
너무너무 바쁜 자식들도
아직도 일자리에 진심인 남편도
콩나물국을 만들어 줄 수 없으니
쿨룩거리며 내 손으로 끓인 콩나물국
얼큰하게 목구멍으로 넘어간다"
겨울나무,"해 묵은 느티나무, 하늘에 그물을 치면
까치도, 까마귀도 쉬었다 간다

살아온 세월만큼 늘어난
잔 가지 끝마다
혹독한 찬바람이 머물러도

함박눈 내려 소복이 쌓이면
너른 가슴 내어주던 여름날처럼

너도 나도
따듯한 우리로 품어준다"
공감의 꽃,"진한 국화향이 좋다는 너
연보라색 꽃이 좋다는 나

들국화가 좋다는 교집합만으로
우린 서로 공감했을까

나를 잠시 멈추고
너에 대한 선입견, 추측, 판단을 없애고
너의 신을 신고
온전히 네게로 가서 생각할 때
나도 국화향이 좋아서가 될 수 있어

그래야 너와 내가 같이
공감의 꽃이 되는 거야"
첫사랑,"오는 길에 함박눈 내려
도착하기 전부터 설레이기를
진한 커피 내리며 기다리는
너처럼 설레이기를

눈길 마주하기도 부끄러운 내게
손 내밀어 반겨줄 널 보며
행복으로 충만해지는 사랑

첫사랑"
눈꽃 산행,"겨울등산의 최고봉인 산행길
한번 가보면 잊지못할 감동스런
추천 리스트에 오른 눈꽃 산행지
상고대와 조망이 좋고 접근이 쉬운
큰 맘 먹고 떠나보는 설산 눈꽃맞이
세차게 불어오는 찬바람 맞은 채로
운해감상도 가능한 겨울 트레킹코스
비교적 짧고 어렵지 않은 산길들도 많은
산계곡 능선따라 산세가 멋드러진 겨울산"
아름다움의 가을처럼 단풍잎으로 고운 숲의 기다림을 읽어,"노래의 숲을 지나
강물이 흐르는 곳에 가까이
징검다리의 총총걸음에
하얀 물보라에도
그리 두근거리도록 발걸음은 급해지고
풍덩거리는 소리에 놀란
초록색의 편지
나무들 사이에 있는
별 하나의 우체통에 있는
딱따구리의 우표 붙이는 것을 잊어버린
달맞이꽃에 보낸
서둘러 떨어트린 꽃잎
그 아픔의 깊이 안으로 찾아온
가을은 노란 골짜기마다
안개의 달빛으로 서둘러 은근함을 채웁니다
그래서 아름다운 날에요
누구든 기다리는 고요함
반달이 해가 지는 서쪽 하늘로
소낙비를 가져오는
바람의 옹기 안에
온종일 비가 내리도록 가마에 앉아
퐁당거리는
노래의 네모남과 세모남을 엮어
그리움을 불태우고
천년을 구워내면
하나의 세계가 그곳에도 있고
푸름이라는 변하지 않는
고결함과 고고함이 정결하게
풀과 은근과 소리의 아름다움으로 담기면
한 방울
별과 숲의 고요함이 통과하도록
작은 연못은 흘러 흘러
하늘 호수라는 나뭇잎 푸른 하늘이
그림자로 비칠 수 있는
어느 날 나비들이 작은 숲이
오직 당신의 아름다움을 위해 만들어졌음을 알려옵니다."
살아가면서,"바라 보는 일은
당신의 얼굴을 바라보는 것
만큼이나
행복한 일입니다"
들꽃 향내 나는 사람,"어디 철 늦게 아카시아가
몇 송이 지지 않고 남아
이렇게 향내를 뿌리나
발걸음 늦은 찔레 몇 그루가
이제야 꽃을 피웠다가 거두고 있나
멀리 봉서산을 바라보다가
길 모퉁이에 이파리 하잘 것 없는
담상담상 피어있는
들꽃 몇 무더기를 보았다
내 이 나이 되도록
이쁘다는 말 한 번도 들어 본 적 없지만
나도 저 들꽃 처럼
고개 돌리면
바람에 실려 향내 가득 묻어 오듯이
나와 마주하는 사람들에게
저 같이 순수한 향내로 남고 싶다
이쁘지는 않지만 나와 마주보면
들꽃 향내 나는 사람으로"
홍시,"달빛에
별빛에
햇빛에
바람에
온몸을 맡겨놓고 견디고 또 견디고
계절이 바뀌고 해를 바뀌어 가며
그 오랜시간이 만들어 낸
주홍빛 눈부셔라 아름다워라
첫눈 내리는 오늘
곶감 한 입 베어 무니
연하디 연한 속살에서
내가 잊고 있었던
내 연인을 만나게 되네
아름다워라
눈부셔라"
청춘,"어여쁜 색상의 수채화
언제 어디서 보아도 그 모습
화기애애하던 그때 그날
지금은 느림과 비움의 삶
세월에 잃어버린 노스탤지어
기억 저편 그리움 더듬는
옛 숨결과의 만남이 정겨워도
마음이 봄이면 그만인 것을..."
시작하는 너에게,"하지만 나는 네 안의 우람한 나무가 보여
네가 피울 무성한 잎새도 보여
그대로 주저앉지 마,
거울 앞에 서면 먼 훗날의 너를 보렴"
겨울 이야기,"끝나도 끝나지 않는 이야기가 있다.
침묵 속에서도
서로의 가슴에는
아직 끝나지 않는 사랑이 있다.
쏟아지는 하얀 추억들이
이제는 그리운 사람이 되어
끝없는 이야기를 쏟아내고 있다.
눈 내리는 밤에는
나도 추억에 목마른 사람이 되어
끝없는 이야기가 되고 싶다.
잠들지 않는 별처럼
밤새 반짝이는 눈이 되고 싶다."
새봄의 노래,"붉게 타오르는 태양 솟아오르며
찾아 온 행복의 보금자리
갈피마다 써 내려간 일기장
일생 나날들 그려진 동그라미의 삶
하루 해 저문 시간을 접으려고
저 은은한 햇살의 그림자
하얀 백설로 덮어버린
설원을 이뤄진 광활한 평화의 대지
고통 사라지고 그리움 밀려오는
행복한 세상이 꿈틀거린다
소망의 웃음 춤추는
가슴에 고인 그리움 환호하면서
하나 되어 깔깔 웃으며 가자
행복의 새봄 속으로"
그 꿈이 언제나 새로움의 깊이를 더하도록,"무지개와 별빛을 다시 꺼내
꽃들의 어두움을 밝히고 있습니다.
이렇게 초록색의 신비함은
나무들이 생각하는 칠판에서
아름다움의 문장을 꺼내
하나의 속삭임
그리움이라는 단어를 써놓으면
그 달콤함의 한 장이면
꽃들이 가진 이제 고운 잠에 깨어난
봄의 동그란 모습
풀잎을 걸어가
물방울이 되어
나비들의 일상을 그려내는
유리성을 하나 가지도록
언제나 아름다움이 그려내는
숲들의 하얀 호흡
나무들의 견고한 묵상들이
살며시 하는 그 느낌으로 만들어 낸
고운 별빛으로 아픔을 시린 안개에 입혀줍니다.
그것은 숲들의 마음
겨울나무 같은 그 외로움
하얀 눈송이가
햇살 고운 들판마다
밤새도록 강언덕의 그리움이
내릴 수 있도록
눈사람 하나 허수아비처럼
노래의 중심에 소복소복
세미함을 한곳에 모아 바람이 되는 곳을 알려옵니다
그렇게 꿈에서 깨어나면
다시 나뭇잎 기다림은
보라색의 연필로 서 있는
작은 마음이라고 써놓은 곳에
종달새들이 가져오는
세미한 바람이 불어오고
부끄러움에 익어버린
하얀 노을의 저녁 풍경은 노란 마음에 숲을 담는 일을 시작합니다."
데칼코마니1,"달콤한 팥소와 밀가루 반죽을 넣고
쇠틀을 뒤집자 붕어들이
노릇노릇 쏟아져 나온다
따뜻한 붕어빵을 입에 물고
붕어를 먹고 있는지 빵을 먹고 있는지
골똘히 생각을 하고 있는데
붕어빵 한 개가
찰싸닥
바닥에 떨어져 파닥거린다"
숲들의 하얀 호흡 안에 있는 나비의 묵상들이,"무지개와 별빛을 다시 꺼내
꽃들의 어두움을 밝히고 있습니다.
이렇게 초록색의 신비함은
나무들이 생각하는 칠판에서
아름다움의 문장을 꺼내
하나의 속삭임
그리움이라는 단어를 써놓으면
그 달콤함의 한 장이면
꽃들이 가진 이제 고운 잠은
언제나 아름다움이 그려내는
숲들의 하얀 호흡 안에 있는
나비의 고요함 묵상들이
살며시 하는 그 느낌으로 만들어 낸
고운 별빛으로 아픔을 시린 안 개에게 입혀줍니다.
그것은 숲들의 마음
겨울나무 같은 그 외로움
하얀 눈송이가
눈사람 하나 허수아비처럼 들판에 세워두고
세미함을 한곳에 모아 바람이 되는 곳"
"4월, 꽃지랄","4월은
나도 그렇습니다. 한 일주일
구토에, 뱃멀미 어지럼증에 비틀거리다가
또 열흘, 지독한 변비에 대변도 못 보고
결국, 수술하여 쓸개에 생긴 결석을 제거한 후에야
아직 옆구리에 쓸개 속의 오물을 빼내느라 물통을 차고 다닙니다
이게 다가 아닙니다
아픈 아내가 나만 의지하고 지내다가
내가 아프니까 어찌할 줄 몰라 벌벌 떨기만 합니다
하도 안쓰러워 안아 주었더니
아내의 눈물이 내 가슴을 적시고
내 눈물이 아내의 머리칼을 씻깁니다
주님, 여기가 끝이면
낙화가 됩니다. 소속도 모르는 꽃 지랄이지요
고통을 통하여 당신의 섭리를 알았사오니
당신의 은혜 아래 살게 하옵소서
내 남은 생을 한 번 더 거듭나게 하여 주시고
사랑으로 채워주시옵소서"
틈새 삶,"평시에는 누워 있다가도
바람 불면 일어섭니다
원망하지 않습니다
탓하지도 않습니다
주어진 환경에서 최선을 다하며 살아가는
저 모습
이민 온 바람은 미안합니다
생각 없이 아무 대나 뿌려놓은 삶인데
거기서도 꽃을 피우고 열매를 맺고
주야장천 가족의 역사를 이어 가겠지요
내 여생
이국 만리의 타향살이라
답답하고 외롭고 고단합니다만
후손들 삶이 언제까지나 틈새 삶이겠습니까
민들레 홀씨가 사방으로 날아다닙니다
이번에는 후한 바람이기를 손 모아 기도합니다"
그리운 어머니,"목놓아 불러 볼수록
비단결 같은
어머니 향기만 출렁이고
가슴 한편을 파고드는
허전함의 고통
울컥울컥 북받치는 서러움은
쓰라린 그리움으로 쌓이네.
백 세의 연세에도
자식이 병원 갔다는 소식에
대성통곡을 하시다가
걱정 안 해도 된다는 연락에
지팡이를 들고
춤을 추시던 어머니
지금도 눈물 속에 떠오르는
마지막 그 모습
아! 세월 가면 잊혀질까.
꿈에도 못 잊을 그리운 어머니"
별빛 안에 들어있는 빛남을,"별들의 시간이 있고
숲들의 애태움이 고여놓은
푸른 메아리 안에 가을 고요함은
그렇게 하얀 실타래를
거미줄에 이어
풀잎들의 고요함이
마음에 있는 물방울을 꺼내
고요함의 동그라미를
굴렁쇠로 굴러오는
소낙비의 굽어진 길도
이제는 별빛의 당당한 꿈이 되어 일어서게 됩니다
아름다운 날들
꽃들의 도서관에서 꺼낸
갈잎으로 알아가는
작은 소리의 바스락거리는
산거미들이 떨리는 마음들이
하나의 책 속에
노을의 마음이 설레도록
그림의 하루의 모습을 마음으로 읽어
붉은 저녁 하늘의
나리꽃의 별이 지고 있는 모습을 밝혀봅니다."
기념사진,"우리들 시간이 멈추어 있다.
행복의 순간도
사랑의 눈길도
멈추면 영원해지는지
우리의 만남은
가장 아름다운 시간 속에
머물러 있다.
그렇게 벽에 걸린 채
지지 않는 꽃향기로
평생을 함께 있다."
생각만으로도 좋다,"찬바람은 점점 깊어지니
밤 열차라도 타고 바다로 가자
너를 좋아하는 마음으로
저 푸른 수평선을 바라보는 것
생각만으로도 좋다"
진솔한 사랑,"욕심도 없지만
오직 베풂이라는
아름다운 울타리를
가지고 있어요
두 손 다 빈손이지만
가슴 따뜻한 곳에
한자리 차지하고 있어
언제든지
꺼내어 나눌 수 있지요
지혜로운 침묵의 소리로
아름다움을 전달하기에
늘 곁에 있던 나무 한 그루
옆을 스치는 꼬맹이의 걸음
어느 날 귀하게 느껴지는 날
사랑을 진솔하게 알아가는 것이지요"
향기로운 오늘,"어떤 산들바람을 기다리나요
아니면 어떤 꽃향기를 기다리나요
또 아니면 어떤 아름다운
음악 소리를 듣고 싶은 가요
다 그대가 할 수 있는 것들이네요
음악을 틀어놓고 잠시 눈을 감고
산들바람으로 꽃을 피우고
그 향기에 취해보세요
긴 시간도 아니고 잠시만
그대가 원하는 시간을 갖고
향기로운 오늘을 시작하세요"
경칩,결빙의 고요를 깨고 눈을 떠 본다
나그네 설음인가,"안개비 자욱이 덮은 강
꿈이 없었더라면
한 발자국도 뗄 수 없었던 길
꿈을 이루려 희망을 걸고
달려와 쌓은 사랑 탑
세월은 강물 되어 흘러
돌아오지 않을 줄 알면서도
철석같이 믿고 꿈이 깰까봐 조심
여기까지 달려온 나그네
모두 떠나버린
텅 빈 거리 왈칵 외로움 밀려오고
삭풍 부는 겨울은 깊어 가는데
꿈도 사랑도 없는 타향살이
이게 나그네 설음인가"
노래의 숲속에 연못을 만들어 처음의 꿈을 비워내고,"아름다움의 시작을 알고 있는
수선화의 처음 배를 만드는 꿈은
보라색의 언저리에 있는
무지개 송판들을 잘라
소낙비 소리로 초록색을 칠하고
작은 것을 소중하게
두 손으로 곱게 처음과 나중을 조립하면
순수의 오전과 오후
단 하나의 설계도는 기록되면
아침 해의 숲으로 보내는
나비들의 마음은 하나둘 실어 보내게 됩니다
그렇게 꽃들의 향기로 깨어난
일기의 고랑마다 땀을 식히며
바람과 별을
마음속에 일렁이도록 캐내어
의자에 기대어
노을의 숲을 읽어 마음에 덧댄
고운 시간이 붉어지는 쉼과 느낌을
단 하나의 펜은
별들의 꿈이라는 숲의 기다리는 모습을 그려냅니다
하얀 초록색이 눈이 부시도록 이 그리움을
사랑하는 나의 당신이여
당신의 그리움은 다시 안녕하신가요
하얀 바람이 불어오면
나뭇잎 처마 끝에 달린
나비들의 거울이 비치는 곳에는
마음을 읽어볼 수 있는
그리움이 거꾸로 보이는
고드름을 매달아
그 빛남 속에
가을이 들려주고자 하는 속삭임을 만나게 됩니다
초록 일렁임의 속삭임
고운 눈빛으로 푸름의
한 단어도 떨어지지 않도록
고움이라는 숲의 느낌 속
꿈의 아늑함을 가져와
밤새 시린 어깨를 부딪혀 만든
두 손에 모은"
